Task ID, Task Name,Task Content,Status,Date Created,Date Created Text,Due Date,Due Date Text,Start Date,Start Date Text,Parent ID,Attachments,Assignees,Tags,Priority,List Name,Folder Name/Path,Space Name,Time Estimated,Time Estimated Text,Checklists,Comments,Assigned Comments,Time Spent,Time Spent Text,Rolled Up Time,Rolled Up Time Text
86dxgg4a2,"input google news .txt file","Ive used google takeout to get the .txt file from google news, as input to other api referencable news feeders and innoreader as a feed >> rag vector store/knowledge graph, as well as agents which can use this as context.",to do,1755067430472,"8/13/2025, 7:43:50 AM GMT+1",,"",,"",null,"[]","[Kurt Anderson]","[]",null,"News Aggregator >> Agent/RAG ","[""Mapache Solutions""]","Kurt Anderson's Space","","","{}","[]","0", "",,NaN,
86dxhbzjv,"Track MCP servers built with mcp-k8s-go","{""ops"":[{""insert"":""Maintain a list of all MCP servers built using mcp-k8s-go. Include details such as server name, deployment date, environment, repository links, and any relevant notes or issues.\n\nRefer to the central knowledge base: ""},{""insert"":{""doc_mention"":{""teamId"":""2282847"",""viewId"":""25naz-1377"",""pageId"":""25naz-237"",""docsHome"":true,""pageTitle"":""MCP Server Documentation""}},""attributes"":{""link"":null}},{""insert"":""\n""}]}",to do,1755421903899,"8/17/2025, 10:11:43 AM GMT+1",,"",,"",86dxhbz8a,"[]","[]","[]",null,"MCP","[""Mapache Solutions""]","Kurt Anderson's Space","","","{}","[]","0", "",,NaN,
86dxhbzjt,"Track MCP servers built with Quarkus MCP Server SDK (Java)","{""ops"":[{""insert"":""Maintain a list of all MCP servers built using Quarkus MCP Server SDK (Java). Include details such as server name, deployment date, environment, repository links, and any relevant notes or issues.\n\nRefer to the central knowledge base: ""},{""insert"":{""doc_mention"":{""teamId"":""2282847"",""viewId"":""25naz-1377"",""pageId"":""25naz-237"",""docsHome"":true,""pageTitle"":""MCP Server Documentation""}},""attributes"":{""link"":null}},{""insert"":""\n""}]}",to do,1755421903857,"8/17/2025, 10:11:43 AM GMT+1",,"",,"",86dxhbz8a,"[]","[]","[]",null,"MCP","[""Mapache Solutions""]","Kurt Anderson's Space","","","{}","[]","0", "",,NaN,
86dxhbzjx,"Track MCP servers built with EasyMCP","{""ops"":[{""insert"":""Maintain a list of all MCP servers built using EasyMCP. Include details such as server name, deployment date, environment, repository links, and any relevant notes or issues.\n\nRefer to the central knowledge base: ""},{""insert"":{""doc_mention"":{""teamId"":""2282847"",""viewId"":""25naz-1377"",""pageId"":""25naz-237"",""docsHome"":true,""pageTitle"":""MCP Server Documentation""}},""attributes"":{""link"":null}},{""insert"":""\n""}]}",to do,1755421903913,"8/17/2025, 10:11:43 AM GMT+1",,"",,"",86dxhbz8a,"[]","[]","[]",null,"MCP","[""Mapache Solutions""]","Kurt Anderson's Space","","","{}","[]","0", "",,NaN,
86dxhbzjz,"Track MCP servers built with FastAPI-MCP","{""ops"":[{""insert"":""Maintain a list of all MCP servers built using FastAPI-MCP. Include details such as server name, deployment date, environment, repository links, and any relevant notes or issues.\n\nRefer to the central knowledge base: ""},{""insert"":{""doc_mention"":{""teamId"":""2282847"",""viewId"":""25naz-1377"",""pageId"":""25naz-237"",""docsHome"":true,""pageTitle"":""MCP Server Documentation""}},""attributes"":{""link"":null}},{""insert"":""\n""}]}",to do,1755421904010,"8/17/2025, 10:11:44 AM GMT+1",,"",,"",86dxhbz8a,"[]","[]","[]",null,"MCP","[""Mapache Solutions""]","Kurt Anderson's Space","","","{}","[]","0", "",,NaN,
86dxhbzjy,"Track MCP servers built with MCP-Framework (Official SDK)","{""ops"":[{""insert"":""Maintain a list of all MCP servers built using MCP-Framework (Official SDK). Include details such as server name, deployment date, environment, repository links, and any relevant notes or issues.\n\nRefer to the central knowledge base: ""},{""insert"":{""doc_mention"":{""teamId"":""2282847"",""viewId"":""25naz-1377"",""pageId"":""25naz-237"",""docsHome"":true,""pageTitle"":""MCP Server Documentation""}},""attributes"":{""link"":null}},{""insert"":""\n""}]}",to do,1755421903943,"8/17/2025, 10:11:43 AM GMT+1",,"",,"",86dxhbz8a,"[]","[]","[]",null,"MCP","[""Mapache Solutions""]","Kurt Anderson's Space","","","{}","[]","0", "",,NaN,
86dxhbzjr,"Track MCP servers built with FastMCP","{""ops"":[{""insert"":""Maintain a list of all MCP servers built using FastMCP. Include details such as server name, deployment date, environment, repository links, and any relevant notes or issues.\n\nRefer to the central knowledge base: ""},{""insert"":{""doc_mention"":{""teamId"":""2282847"",""viewId"":""25naz-1377"",""pageId"":""25naz-237"",""docsHome"":true,""pageTitle"":""MCP Server Documentation""}},""attributes"":{""link"":null}},{""insert"":""\n""}]}",to do,1755421903829,"8/17/2025, 10:11:43 AM GMT+1",,"",,"",86dxhbz8a,"[]","[]","[]",null,"MCP","[""Mapache Solutions""]","Kurt Anderson's Space","","","{}","[]","0", "",,NaN,
86dxhbzju,"Track MCP servers built with Foxy Contexts","{""ops"":[{""insert"":""Maintain a list of all MCP servers built using Foxy Contexts. Include details such as server name, deployment date, environment, repository links, and any relevant notes or issues.\n\nRefer to the central knowledge base: ""},{""insert"":{""doc_mention"":{""teamId"":""2282847"",""viewId"":""25naz-1377"",""pageId"":""25naz-237"",""docsHome"":true,""pageTitle"":""MCP Server Documentation""}},""attributes"":{""link"":null}},{""insert"":""\n""}]}",to do,1755421903906,"8/17/2025, 10:11:43 AM GMT+1",,"",,"",86dxhbz8a,"[]","[]","[]",null,"MCP","[""Mapache Solutions""]","Kurt Anderson's Space","","","{}","[]","0", "",,NaN,
86dxhbzjw,"Track MCP servers built with mcp-builder.ai","{""ops"":[{""insert"":""Maintain a list of all MCP servers built using mcp-builder.ai. Include details such as server name, deployment date, environment, repository links, and any relevant notes or issues.\n\nRefer to the central knowledge base: ""},{""insert"":{""doc_mention"":{""teamId"":""2282847"",""viewId"":""25naz-1377"",""pageId"":""25naz-237"",""docsHome"":true,""pageTitle"":""MCP Server Documentation""}},""attributes"":{""link"":null}},{""insert"":""\n""}]}",to do,1755421903901,"8/17/2025, 10:11:43 AM GMT+1",,"",,"",86dxhbz8a,"[]","[]","[]",null,"MCP","[""Mapache Solutions""]","Kurt Anderson's Space","","","{}","[]","0", "",,NaN,
86dxg6jgu,"Document findings and issues","",to do,1754974148300,"8/12/2025, 5:49:08 AM GMT+1",,"",,"",86dxg6jdc,"[]","[]","[]",null,"MCP","[""Mapache Solutions""]","Kurt Anderson's Space","","","{}","[]","0", "",,NaN,
86dxhbz8a,"mcp server agent","an agent that keeps track of what mcp servers I've built and searches for existing mcps on registries. Based on these, decide to use an mcp that I've built, as well as those that exist already (some sort of quality review?), and if nothing exists, utilize tools to create and host that mcp server.",to do,1755420473646,"8/17/2025, 9:47:53 AM GMT+1",,"",,"",null,"[]","[Kurt Anderson]","[]",null,"MCP","[""Mapache Solutions""]","Kurt Anderson's Space","","","{}","[]","0", "",,NaN,
86dxhbzhz,"List all built MCP servers","",to do,1755421597980,"8/17/2025, 10:06:37 AM GMT+1",,"",,"",86dxhbz8a,"[]","[]","[]",null,"MCP","[""Mapache Solutions""]","Kurt Anderson's Space","","","{}","[]","0", "",,NaN,
86dxh9zky,"mcp-use: Open source SDK and infra for MCP servers & agents | Product Hunt https://www.producthunt.com/products/mcp-use","mcp-use: Open source SDK and infra for MCP servers & agents | Product Hunt",to do,1755321010114,"8/16/2025, 6:10:10 AM GMT+1",,"",,"",null,"[]","[Kurt Anderson]","[]",null,"MCP","[""Mapache Solutions""]","Kurt Anderson's Space","","","{}","[]","0", "",,NaN,
86dxh9zmc,"mcp-use: Open source SDK and infra for MCP servers & agents | Product Hunt https://www.producthunt.com/products/mcp-use","mcp-use: Open source SDK and infra for MCP servers & agents | Product Hunt",to do,1755321013593,"8/16/2025, 6:10:13 AM GMT+1",,"",,"",null,"[]","[Kurt Anderson]","[]",null,"MCP","[""Mapache Solutions""]","Kurt Anderson's Space","","","{}","[]","0", "",,NaN,
86dxhbzj5,"Create a new MCP server if needed","",to do,1755421601671,"8/17/2025, 10:06:41 AM GMT+1",,"",,"",86dxhbz8a,"[]","[]","[]",null,"MCP","[""Mapache Solutions""]","Kurt Anderson's Space","","","{}","[]","0", "",,NaN,
